sku,categories,name,supplier,supplier price,bank exchange rate,supplier price ron,local c.,thenx c,vat,all cost price,last all cost,margin whole, margin retail,whole price,retail price,last retail price & date,smart price,cheap comp
5991,Diverse Scule Service,Creion fibra de sticla,ASWO,RON 18.94,0.0,18.94,1.0,2.0,1.19,26.11,0.0,0.0,0.0,38.0,38.0 - 2021-01-25,,
6182,Mufe incarcare,Nokia 1200 | 1208 | 1209 | 2630 | 5000,CANDYP LTD CO,RON 1.37,0.0,1.37,1.0,3.0,1.19,6.4,0.0,150.0,0.0,156.0,150.0 - 2021-01-18,1.95,
6093,Front Camera Flex,iPhone 5,CANDYP LTD CO,RON 3.38,0.0,3.38,1.0,2.0,1.19,7.59,0.0,100.0,0.0,108.0,100.0 - 2021-01-18,,
6363,Cititor SIM,HTC One X,CANDYP LTD CO,RON 1.7,0.0,1.7,1.0,2.0,1.19,5.6,0.0,150.0,0.0,156.0,150.0 - 2021-01-18,0.95,
6707,Flex Side Key,Samsung Galaxy Ace Plus S7500,Direct,RON 4.23,0.0,4.23,1.0,2.0,1.19,8.6,0.0,1.0,0.0,10.0,1.0 - 2021-01-18,4.95,
6589,Acumulatori,"Nokia BL-5CA, 1110, 1112, 1200, 1208",AKI,RON 16.89,0.0,16.89,1.0,2.0,1.19,23.66,0.0,12.0,0.0,36.0,12.0 - 2021-01-18,,
6642,Flex Sim,Samsung i9070 Galaxy S Advance,CANDYP LTD CO,RON 4.81,0.0,4.81,1.0,2.0,1.19,9.29,0.0,100.0,0.0,109.0,100.0 - 2021-01-18,,
6968,Flex Cable,Samsung E250D,CANDYP LTD CO,RON 27.8,0.0,27.8,1.0,2.0,1.19,36.65,0.0,100.0,0.0,137.0,100.0 - 2021-01-18,19.95,
6862,Acumulatori,Nokia BL-4U,AKI,RON 17.3,0.0,17.3,1.0,2.0,1.19,24.16,0.0,12.0,0.0,36.0,12.0 - 2021-01-18,,
7120,Touchscreen,"iPad Mini 2, Black",CANDYP LTD CO,RON 14.22,0.0,14.22,1.0,2.0,1.19,20.49,0.0,120.0,0.0,140.0,120.0 - 2021-01-18,,
50562,Huse Vetter Clip-On,"iPhone 11, Clip-On, Jasmine Series, Black",VETTER,RON 23.11,0.0,23.11,1.0,2.0,1.19,31.06,0.0,0.0,0.0,0.0,,,
7352,Flex Incarcare,"iPhone 5, White",CANDYP LTD CO,RON 2.69,0.0,2.69,1.0,2.0,1.19,6.77,0.0,100.0,0.0,107.0,100.0 - 2021-01-18,,
7426,Mufe incarcare,"Nokia Lumia 800, N9",CANDYP LTD CO,RON 1.16,0.0,1.16,1.0,3.0,1.19,6.14,0.0,150.0,0.0,156.0,150.0 - 2021-01-18,1.95,
7821,Capac Baterie,"Nokia E50, Original, Silver",PHONETASTIK,RON 5.0,0.0,5.0,1.0,2.0,1.19,9.52,0.0,14.0,0.0,24.0,14.0 - 2021-01-18,4.95,
7906,Capac Baterie,"Nokia 6300, 6301, Silver",CANDYP LTD CO,RON 5.0,0.0,5.0,1.0,2.0,1.19,9.52,0.0,120.0,0.0,130.0,120.0 - 2021-01-18,4.95,
7946,Flex Cable,"Sony Xperia S, LT26i, FPC Flex",CANDYP LTD CO,RON 18.3,0.0,18.3,1.0,2.0,1.19,25.35,0.0,100.0,0.0,125.0,100.0 - 2021-01-18,9.95,
8297,Flex Cable,Sony Ericsson W910i,CANDYP LTD CO,RON 3.6,0.0,3.6,1.0,2.0,1.19,7.85,0.0,100.0,0.0,108.0,100.0 - 2021-01-18,4.95,
8825,LCD,HTC Wildfire S,CANDYP LTD CO,RON 7.67,0.0,7.67,1.0,2.0,1.19,12.7,0.0,100.0,0.0,113.0,100.0 - 2021-01-18,9.95,
8914,Geam Sticla,LG KE970 Shine,CANDYP LTD CO,RON 2.52,0.0,2.52,1.0,2.0,1.19,6.57,0.0,120.0,0.0,127.0,120.0 - 2021-01-18,4.95,
9708,Flex Cable,"Nokia 3610f, 6555",CANDYP LTD CO,RON 2.36,0.0,2.36,1.0,2.0,1.19,6.38,0.0,100.0,0.0,106.0,100.0 - 2021-01-18,4.95,
10723,Touchscreen,Samsung i900 Omnia,CANDYP LTD CO,RON 2.36,0.0,2.36,1.0,2.0,1.19,6.38,0.0,120.0,0.0,126.0,120.0 - 2021-01-18,4.95,
11274,Flex Cable,Samsung S8300 UltraTouch,CANDYP LTD CO,RON 4.13,0.0,4.13,1.0,2.0,1.19,8.48,0.0,100.0,0.0,108.0,100.0 - 2021-01-18,4.95,
11326,Flex Cable,"Samsung i8510, AM+",CANDYP LTD CO,RON 4.13,0.0,4.13,1.0,2.0,1.19,8.48,0.0,100.0,0.0,108.0,100.0 - 2021-01-18,4.95,
